0      -14.72      0.00   9990.88   * 1 *      1 *
0  2017-05-31 19:45:00        5.28      0.00   9323.36       0     * -1
0  2017-05-31 19:50:00        5.28      0.00   9323.36  * -1 *     * -1
0  2017-05-31 19:55:00      -14.72      0.00   9323.36  * -1 *     * -1
0  2017-05-31 20:00:00      -54.72      0.00   9323.36  * -1 *     * -1
0  2017-05-31 20:05:00      -54.72      0.00   9323.36       0     * -1
0  2017-05-31 20:10:00        0.00    -14.72   9308.64       1        0
0  2017-05-31 20:15:00        5.28      0.00   9308.64  * -1 *     * -1
0  2017-05-31 20:20:00        0.00      5.28   9313.92       1        0
0  2017-05-31 20:25:00        0.00      0.00   9313.92       0        0
0  2017-05-31 20:30:00      -14.72      0.00   9313.92  * -1 *     * -1
0  2017-05-31 20:35:00      -14.72      0.00   9313.92       0     * -1
0  2017-05-31 20:40:00      -24.72      0.00   9313.92  * -1 *     * -1
0  2017-05-31 20:45:00      -64.72      0.00   9313.92       0     * -1
0  2017-05-31 20:50:00      -64.72      0.00   9313.92       0     * -1
0  2017-05-31 20:55:00        0.00    -34.72   9279.20       1        0
0  2017-05-31 21:00:00      -14.72      0.00   9279.20   * 1 *      1 *
0  2017-05-31 21:05:00       -4.72      0.00   9279.20   * 1 *      1 *
0  2017-05-31 21:10:00        0.00    -14.72   9264.48      -1        0
0  2017-05-31 21:15:00        0.00      0.00   9264.48       0        0
0  2017-05-31 21:20:00       -4.72      0.00   9264.48  * -1 *     * -1
0  2017-05-31 21:25:00       -4.72      0.00   9264.48       0     * -1
0  2017-05-31 21:30:00      -34.72      0.00   9264.48       0     * -1
0  2017-05-31 21:35:00      -34.72      0.00   9264.48  * -1 *     * -1
0  2017-05-31 21:40:00        0.00    -34.72   9229.76       1        0
0  2017-05-31 21:45:00        0.00      0.00   9229.76       0        0
0  2017-05-31 21:50:00        0.00      0.00   9229.76       0        0
0  2017-05-31 21:55:00        0.00      0.00   9229.76       0        0
0  2017-05-31 22:00:00        0.00      0.00   9229.76       0        0
0  2017-05-31 22:05:00      -14.72      0.00   9229.76   * 1 *      1 *
0  2017-05-31 22:10:00      -14.72      0.00   9229.76       0      1 *
0  2017-05-31 22:15:00      -14.72      0.00   9229.76       0      1 *
0  2017-05-31 22:20:00      -14.72      0.00   9229.76   * 1 *      1 *
0  2017-05-31 22:25:00      -64.72      0.00   9229.76       0      1 *
0  2017-05-31 22:30:00        0.00    -64.72   9165.04      -1        0
0  2017-05-31 22:35:00        0.00      0.00   9165.04       0        0
0  2017-05-31 22:40:00        0.00      0.00   9165.04       0        0
0  2017-05-31 22:45:00        0.00      0.00   9165.04       0        0
0  2017-05-31 22:50:00        0.00      0.00   9165.04       0        0
0  2017-05-31 22:55:00        0.00      0.00   9165.04       0        0
0  2017-05-31 23:00:00      -14.72      0.00   9165.04   * 1 *      1 *
0  2017-05-31 23:05:00      -14.72      0.00   9165.04       0      1 *
0  2017-05-31 23:10:00      -14.72      0.00   9165.04       0      1 *
0  2017-05-31 23:15:00      -14.72      0.00   9165.04       0      1 *
0  2017-05-31 23:20:00        0.00    -14.72   9150.32      -1        0
0  2017-05-31 23:25:00        0.00      0.00   9150.32       0        0
0  2017-05-31 23:30:00        0.00      0.00   9150.32       0        0
0  2017-05-31 23:35:00      -14.72      0.00   9150.32   * 1 *      1 *
0  2017-05-31 23:40:00       -4.72      0.00   9150.32       0      1 *
0  2017-05-31 23:45:00        0.00      5.28   9155.60      -1        0
0  2017-05-31 23:50:00        0.00      0.00   9155.60       0        0
0  2017-05-31 23:55:00        0.00      0.00   9155.60       0        0
0  2017-06-01 00:00:00        0.00      0.00   9155.60       0        0
0  2017-06-01 00:05:00        0.00      0.00   9155.60       0        0
0  2017-06-01 00:10:00        0.00      0.00   9155.60       0        0
0  2017-06-01 00:15:00        0.00      0.00   9155.60       0        0
0  2017-06-01 00:20:00      -14.72      0.00   9155.60   * 1 *      1 *
0  2017-06-01 00:25:00        5.28      0.00   9155.60       0      1 *
0  2017-06-01 00:30:00       35.28      0.00   9155.60   * 1 *      1 *
0  2017-06-01 00:35:00       15.28      0.00   9155.60   * 1 *      1 *
0  2017-06-01 00:40:00       15.28      0.00   9155.60       0      1 *
0  2017-06-01 00:45:00       45.28      0.00   9155.60       0      1 *
0  2017-06-01 00:50:00        5.28      0.00   9155.60   * 1 *      1 *
0  2017-06-01 00:55:00      -14.72      0.00   9155.60   * 1 *      1 *
0  2017-06-01 01:00:00        0.00    -24.72   9130.88      -1        0
0  2017-06-01 01:05:00        0.00      0.00   9130.88       0        0
0  2017-06-01 01:10:00        0.00      0.00   9130.88       0        0
0  2017-06-01 01:15:00      -74.72      0.00   9130.88  * -1 *     * -1
0  2017-06-01 01:20:00        0.00    -84.72   9046.16       1        0
0  2017-06-01 01:25:00        0.00      0.00   9046.16       0        0
0  2017-06-01 01:30:00        5.28      0.00   9046.16  * -1 *     * -1
0  2017-06-01 01:35:00        5.28      0.00   9046.16       0     * -1
0  2017-06-01 01:40:00       65.28      0.00   9046.16       0     * -1
0  2017-06-01 01:45:00       95.28      0.00   9046.16  * -1 *     * -1
0  2017-06-01 01:50:00        0.00     95.28   9141.44       1        0
0  2017-06-01 01:55:00      -14.72      0.00   9141.44  * -1 *     * -1
0  2017-06-01 02:00:00      -14.72      0.00   9141.44       0     * -1
0  2017-06-01 02:05:00      -24.72      0.00   9141.44  * -1 *     * -1
0  2017-06-01 02:10:00      -24.72      0.00   9141.44       0     * -1
0  2017-06-01 02:15:00      -24.72      0.00   9141.44       0     * -1
0  2017-06-01 02:20:00      -24.72      0.00   9141.44       0     * -1
0  2017-06-01 02:25:00        0.00    -14.72   9126.72       1        0
0  2017-06-01 02:30:00      -44.72      0.00   9126.72   * 1 *      1 *
0  2017-06-01 02:35:00     -154.72      0.00   9126.72   * 1 *      1 *
0  2017-06-01 02:40:00     -254.72      0.00   9126.72   * 1 *      1 *
0  2017-06-01 02:45:00     -214.72      0.00   9126.72       0      1 *
0  2017-06-01 02:50:00     -224.72      0.00   9126.72       0      1 *
0  2017-06-01 02:55:00     -284.72      0.00   9126.72   * 1 *      1 *
0  2017-06-01 03:00:00     -294.72      0.00   9126.72   * 1 *      1 *
0  2017-06-01 03:05:00        0.00   -304.72   8822.00      -1        0
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
NUM_SELL-AC: 36
